year,reg_1,reg_2,metropolitan,pop,pop_under15,pop_15~64,pop_over65,age_mean,age_median,pop_c,distance_1,distance_2,distance_3,pop_c_m,pop_c_w,single_transit,walk,car,bus,bus_c,bus_e,metro,train,taxi,bicycle,etc,multi_transit,time_15,time_60~90,time_90~120,time_120,nc_car_dis,c_car_dis,pt_n,pt_c,trans_n,trans_tt,trans_wt
2015,서울,종로구,Y,161521,14830,123715,22976,41.6,41.7,91286,42875,33821,6736,49990,41296,79827,31825,13929,15260,1073,307,14723,200,332,408,1770,11459,19612,14430,2813,1831,31.5,115.1,9.9,63295,1.5,6.3,7
2015,서울,중구,Y,128478,11785,98091,18602,42.4,42.4,71463,34444,25847,4865,39433,32030,65183,26780,9503,5871,610,208,20036,111,400,322,1342,6280,16525,7699,1653,876,34.2,88.9,9.9,63295,1.5,6.3,7
2015,서울,용산구,Y,227282,25559,169448,32275,41.6,41.5,126251,49195,55996,12856,69459,56792,108345,30222,26858,24575,1972,461,20263,510,1011,567,1906,17906,20344,19795,4112,1927,31.3,99.7,9.9,63295,1.5,6.3,7
2015,서울,성동구,Y,295006,33524,224772,36710,40.6,40.4,173794,63614,83364,16505,97662,76132,151757,41457,31838,17049,2074,702,51315,168,795,3404,2955,22037,27802,26346,5592,2855,32.7,111,9.9,63295,1.5,6.3,7
2015,서울,광진구,Y,368199,38912,289875,39412,39.7,38.9,222740,82624,104367,22981,122292,100448,196793,57405,35928,22573,3542,1318,67229,88,626,5099,2985,25947,37575,39955,6900,3580,32.5,117.8,9.9,63295,1.5,6.3,7
2015,서울,동대문구,Y,364787,38317,276197,50273,41,40.5,209380,87380,89426,17912,117654,91726,183424,61897,35770,31984,2406,569,42471,332,776,3428,3791,25956,40752,38830,8033,3706,31.5,117.9,9.9,63295,1.5,6.3,7
2015,서울,중랑구,Y,403237,44287,306394,52556,41.5,42.3,237199,88317,107009,28241,134501,102698,206868,56987,43809,35634,2933,719,57081,147,816,3884,4858,30331,36286,53711,11721,4983,32.6,125.4,9.9,63295,1.5,6.3,7
2015,서울,성북구,Y,456844,55778,340456,60610,40.3,40.3,265548,97574,127197,22526,146138,119410,226205,63450,49040,49203,3672,603,52820,394,707,1778,4538,39343,41127,54954,12658,5430,30,130.2,9.9,63295,1.5,6.3,7
2015,서울,강북구,Y,319992,34324,234972,50696,42.7,43.5,179941,62896,90978,16173,100139,79802,144995,38364,29661,35739,1781,495,33638,145,442,1575,3155,34946,24118,45759,12081,4959,30.7,124.6,9.9,63295,1.5,6.3,7
2015,서울,도봉구,Y,340095,39653,253204,47238,41.7,42.8,194724,70962,93521,22805,109983,84741,165496,42972,37671,25917,2129,468,50682,171,634,2752,2100,29228,28334,49186,14281,5555,30.7,127.5,9.9,63295,1.5,6.3,7
2015,서울,노원구,Y,562996,74276,422101,66619,39.9,40.9,328259,127948,139982,39340,184699,143560,286949,77669,64414,30179,4772,1076,98917,298,1028,5525,3071,41310,50803,88800,21503,8626,30.7,127.3,9.9,63295,1.5,6.3,7
2015,서울,은평구,Y,478374,59390,352273,66711,41.2,41.7,274667,94103,125196,36542,152666,122001,232603,53981,51951,41281,2741,827,73677,333,697,3248,3867,42064,33101,71276,16224,7130,31.2,135.3,9.9,63295,1.5,6.3,7
2015,서울,서대문구,Y,308768,32540,232206,44022,41,40.6,182015,70164,82293,18193,98198,83817,156471,44274,34696,42200,2293,606,27684,371,651,1189,2507,25544,28038,37410,8670,3786,30.8,136.6,9.9,63295,1.5,6.3,7
2015,서울,마포구,Y,381330,45861,289111,46358,39.8,38.9,224971,80237,99257,23845,121367,103604,193782,52494,42883,32085,2943,906,54981,578,1124,3023,2765,31189,35224,42868,8027,4216,32,115.8,9.9,63295,1.5,6.3,7
2015,서울,양천구,Y,465512,64058,352655,48799,39.6,41.2,278898,104361,118158,43535,159029,119869,236683,59417,71369,39729,5128,786,50685,460,806,5257,3046,42215,41248,64167,17578,7483,31.4,138.6,9.9,63295,1.5,6.3,7
2015,서울,강서구,Y,570507,72738,431721,66048,40.1,39.9,332438,122798,132489,50474,185854,146584,288044,63477,76314,44852,5119,1272,87750,512,1109,3863,3776,44394,42586,83641,21752,8755,33.2,138.4,9.9,63295,1.5,6.3,7
2015,서울,구로구,Y,444832,54120,336854,53858,40.9,41.3,240902,89095,92178,46291,137520,103382,207055,48975,54004,33569,2974,588,60173,517,608,2827,2820,33847,31246,60081,14637,5561,32.7,114.1,9.9,63295,1.5,6.3,7
2015,서울,금천구,Y,250690,24946,194810,30934,42,43.1,139109,55999,44575,27326,79785,59324,114538,35130,28264,30078,1872,395,14479,120,346,1327,2527,24571,19728,33264,8791,3415,35.4,102.3,9.9,63295,1.5,6.3,7
2015,서울,영등포구,Y,406528,42843,313053,50632,41.7,42,217395,79989,88303,30152,123603,93792,187423,47352,41642,26553,3378,617,60504,672,1061,3417,2227,29972,32283,44432,9376,4317,32.5,108.5,9.9,63295,1.5,6.3,7
2015,서울,동작구,Y,407894,44853,311138,51903,40.4,39.4,238310,82161,115079,30125,132694,105616,199175,50901,42240,33688,3795,1109,62537,373,629,1121,2782,39135,32674,52836,9659,4324,30.3,113.5,9.9,63295,1.5,6.3,7
2015,서울,관악구,Y,519622,48329,407681,63612,40.4,38.4,308489,108846,146128,36557,172720,135769,251327,61148,45685,43385,7006,1007,85713,337,753,1776,4517,57162,34871,75245,14471,5803,31.1,117.2,9.9,63295,1.5,6.3,7
2015,서울,서초구,Y,420804,61410,312820,46574,39.1,39.5,247628,95460,98404,37264,139019,108609,211462,48739,68931,33063,6782,2312,47853,282,1154,1207,1139,36166,36943,46424,8306,4121,31,108.1,9.9,63295,1.5,6.3,7
2015,서울,강남구,Y,541688,67877,416315,57496,39.5,39.6,323207,135349,104421,44251,180262,142945,278288,74784,87691,42007,7434,2120,57513,370,2577,2036,1756,44919,55352,61519,11674,5810,31.7,90.3,9.9,63295,1.5,6.3,7
2015,서울,송파구,Y,634941,84436,484617,65888,39.5,39.8,377150,147008,138756,56980,212256,164894,325705,76341,93650,45725,9065,2789,82899,244,1780,9534,3678,51445,60842,81801,16540,7193,31.9,121.2,9.9,63295,1.5,6.3,7
2015,서울,강동구,Y,444385,55345,338836,50204,40.5,41.1,263745,101365,101057,40046,149677,114068,233782,62597,61032,29460,5271,1564,63483,128,808,5828,3611,29963,44449,59462,11637,5134,33.2,128.4,9.9,63295,1.5,6.3,7
2015,부산,중구,Y,45377,3504,32872,9001,46.1,47.7,24586,8767,11000,946,13464,11122,23177,10373,4140,6185,432,47,1129,39,206,65,561,1409,7357,2389,458,159,34.2,88.9,8.4,51003,1.4,5.4,7.1
2015,부산,서구,Y,111996,9965,79380,22651,45.6,47.6,59068,21315,29289,2690,33065,26003,54556,16388,14051,17292,1339,157,3634,57,352,155,1131,4512,14630,7121,1045,393,32.6,140,8.4,51003,1.4,5.4,7.1
2015,부산,동구,Y,89202,7381,62507,19314,46.6,48.6,46612,15309,23220,2520,26554,20058,42599,12836,10667,12026,1064,129,4333,61,327,163,993,4013,10621,5789,1246,414,34.5,93.3,8.4,51003,1.4,5.4,7.1
2015,부산,영도구,Y,129515,11327,92796,25392,45,47,65877,27415,26199,2831,38571,27306,61425,16875,17841,21350,2364,145,724,62,428,176,1460,4452,16423,9434,2352,675,32.6,149,8.4,51003,1.4,5.4,7.1
2015,부산,부산진구,Y,376321,40353,278997,56971,42.4,43.1,208894,75913,87052,13904,117808,91086,190325,47504,62762,48231,7736,485,17994,200,1214,615,3584,18569,40976,28994,4280,1489,33,120.1,8.4,51003,1.4,5.4,7.1
2015,부산,동래구,Y,262154,31194,193283,37677,42.3,44,149561,50752,70888,13459,85512,64049,133128,34661,48274,25559,5235,398,14894,157,537,1258,2155,16433,26943,25394,3988,1195,32.3,119.7,8.4,51003,1.4,5.4,7.1
2015,부산,남구,Y,283741,32790,207840,43111,41.9,42.9,154863,55947,66155,8151,88842,66021,142410,38714,51716,32919,5201,354,9261,62,597,891,2695,12453,32501,20147,4187,1459,32.9,107.8,8.4,51003,1.4,5.4,7.1
2015,부산,북구,Y,299182,36201,227379,35602,41,42.9,167194,54006,71347,24938,97254,69940,151214,29537,60045,26902,8274,553,21888,314,421,395,2885,15980,25307,31452,3902,1558,35.4,127.5,8.4,51003,1.4,5.4,7.1
2015,부산,해운대구,Y,409037,54759,301218,53060,41,42.7,225433,93520,88958,18201,129636,95797,206488,48876,85989,38019,9741,787,17186,390,1306,1078,3116,18945,47111,39779,7963,3191,33.3,122.7,8.4,51003,1.4,5.4,7.1
2015,부산,사하구,Y,334762,40390,251026,43346,41.3,42.5,189155,73792,68456,11138,109737,79418,175490,40254,64503,44645,11156,465,9321,109,877,611,3549,13665,34600,26896,5674,1979,33.7,141.1,8.4,51003,1.4,5.4,7.1
2015,부산,금정구,Y,249444,24996,187415,37033,42.2,43.6,139892,53581,47622,17006,79133,60759,129163,39236,41530,17510,7845,680,19465,31,322,521,2023,10729,31585,20667,3495,1277,34.2,153.8,8.4,51003,1.4,5.4,7.1
2015,부산,강서구,Y,92628,15350,66848,10430,38.7,37.6,49179,27863,10794,5973,30196,18983,46702,11380,24415,5104,1648,131,786,33,45,1636,1524,2477,17461,4920,971,394,33.2,138.4,8.4,51003,1.4,5.4,7.1
2015,부산,연제구,Y,203527,24198,149370,29959,42.3,43.7,113010,40166,57135,8822,63872,49138,100408,25351,35208,17692,3525,353,15043,107,541,882,1706,12602,19294,16718,3119,1178,32.6,133,8.4,51003,1.4,5.4,7.1
2015,부산,수영구,Y,173069,17569,126342,29158,43.8,44.9,94109,31973,50018,5393,52804,41305,84446,19163,30697,16562,2835,196,12597,74,344,824,1154,9663,16057,12936,2500,959,31.6,129.1,8.4,51003,1.4,5.4,7.1
2015,부산,사상구,Y,240709,26105,185686,28918,41.3,42.6,135911,48410,50958,13137,79291,56620,127299,28770,44296,34116,7091,401,8054,46,577,1039,2909,8612,28847,18530,2354,659,35.8,141.6,8.4,51003,1.4,5.4,7.1
2015,부산,기장군,Y,148073,27192,101699,19182,38.9,39,77606,39116,21264,10567,46132,31474,73828,17883,38580,11932,2741,240,556,111,220,304,1261,3778,22026,9712,2576,968,38.4,158.6,8.4,51003,1.4,5.4,7.1
2015,대구,중구,N,78334,7988,55852,14494,43.7,44,43235,18761,15596,3587,23723,19512,40588,14915,13954,4903,743,108,3723,153,222,969,898,2647,11139,3458,535,311,34.2,88.9,7.8,42313,1.3,6.2,8
2015,대구,동구,N,339608,44084,243153,52371,42.1,43.1,180167,80525,55854,25743,104839,75328,166583,33782,76944,30087,5731,414,11097,575,592,3512,3849,13584,35829,22804,3041,1745,34.5,93.3,7.8,42313,1.3,6.2,8
2015,대구,서구,N,202963,18626,152555,31782,43.8,45.8,111595,43441,46917,10384,64974,46621,105831,27921,38946,23272,5045,288,3313,91,401,3050,3504,5764,22111,12131,1719,655,32.6,140,7.8,42313,1.3,6.2,8
2015,대구,남구,N,160164,14554,116365,29245,44.4,45.5,83208,31333,38117,7465,46788,36420,77789,19986,31593,15429,2200,168,5330,115,492,1085,1391,5419,18597,8971,1434,699,32.9,107.8,7.8,42313,1.3,6.2,8
2015,대구,북구,N,450579,64913,336742,48924,38.8,39.8,260144,115247,60626,34363,150870,109274,247509,67666,112553,37388,10762,571,5655,419,708,5757,6030,12635,67585,25479,4424,2269,35.4,127.5,7.8,42313,1.3,6.2,8
2015,대구,수성구,N,437328,63314,320276,53738,40.1,42.3,247907,106285,71527,39397,142136,105771,228913,51259,112245,35198,7805,676,14763,784,826,2837,2520,18994,50672,29476,4387,2600,33.3,124.9,7.8,42313,1.3,6.2,8
2015,대구,달서구,N,607224,83822,463621,59781,39,40.2,347844,155141,93765,37595,201470,146374,322716,76287,154049,39533,16666,889,23355,304,1108,4989,5536,25128,69413,39473,7406,3945,34.3,129.7,7.8,42313,1.3,6.2,8
2015,대구,달성군,N,189852,29410,138915,21527,39.3,40.1,106686,51236,32876,11892,63735,42951,100374,22147,52267,9614,5660,209,5324,65,228,1637,3223,6312,31249,9262,2101,1239,36.4,137.5,7.8,42313,1.3,6.2,8
2015,인천,중구,N,112910,17047,81032,14831,40.1,40.6,62210,35840,11337,9154,37421,24789,57180,13476,25542,10420,1812,249,4245,16,183,600,637,5030,15387,7470,3313,2277,34.2,88.9,8.2,60369,1.5,6.8,8.2
2015,인천,동구,N,71054,9045,49895,12114,42.9,43.6,38667,14552,15802,6536,22500,16167,36164,8664,13346,8354,917,157,3466,5,114,536,605,2503,7068,5940,2339,1395,34.5,93.3,8.2,60369,1.5,6.8,8.2
2015,인천,남구,N,405746,47789,303070,54887,41.2,41.6,228205,90035,73933,41929,133973,94232,210833,49539,79579,52013,5936,1592,16416,34,902,1401,3421,17372,37513,31852,13285,7842,32.9,107.8,8.2,60369,1.5,6.8,8.2
2015,인천,연수구,N,317172,49519,242332,25321,37.4,38.5,185830,80169,53837,35057,108047,77783,169588,35068,79883,26086,5491,2287,15881,123,662,2671,1436,16242,34497,23445,10492,7697,34.1,119.5,8.2,60369,1.5,6.8,8.2
2015,인천,남동구,N,527324,77990,398303,51031,38.7,39.3,302809,123284,67148,77604,175637,127172,272117,56635,119174,55451,7812,3082,22772,85,701,2705,3700,30692,46712,51683,20047,12779,35,93.2,8.2,60369,1.5,6.8,8.2
2015,인천,부평구,N,548461,71378,418251,58832,39.8,40.5,313896,125291,61527,101063,179846,134050,277755,65002,96781,43930,6660,1983,52249,115,876,5977,4182,36141,46145,64024,24038,12168,32.8,111.5,8.2,60369,1.5,6.8,8.2
2015,인천,계양구,N,327311,43953,254949,28409,38.8,39.9,197855,77625,46798,61904,113386,84469,177737,44755,65076,26882,5048,1673,27799,52,538,2490,3424,20118,31962,40892,13917,8148,34.9,73.4,8.2,60369,1.5,6.8,8.2
2015,인천,서구,N,499540,82803,376380,40357,37.4,38.3,285788,116952,55042,76512,168817,116971,257252,53504,118388,51785,9729,2373,13663,152,676,2908,4074,28536,50728,46481,19626,12655,32.6,140,8.2,60369,1.5,6.8,8.2
2015,인천,강화군,N,62291,5570,38551,18170,50.2,54,36884,27125,1225,4453,20748,16136,36089,14100,14466,3036,978,175,137,3,42,592,2560,795,17663,1967,785,771,34.7,118.6,8.2,60369,1.5,6.8,8.2
2015,인천,옹진군,N,18642,1752,12802,4088,46.7,49.4,12610,11929,311,354,7841,4769,12439,5538,4740,311,940,30,27,-,7,135,711,171,7325,357,176,119,27.8,75.8,8.2,60369,1.5,6.8,8.2
2015,광주,동구,N,104173,10038,74750,19385,43.3,43.6,56251,30054,14600,4356,31662,24589,54705,19743,21228,9178,1801,267,948,15,252,653,620,1546,14829,3466,451,271,34.5,93.3,7.2,42546,1.3,6.3,9.4
2015,광주,서구,N,305512,44962,227059,33491,38.9,39.8,176746,84650,51420,15945,99797,76949,170347,36618,81837,33062,10629,858,3249,59,812,1439,1784,6399,38144,13320,1882,693,32.6,140,7.2,42546,1.3,6.3,9.4
2015,광주,남구,N,221759,30263,160843,30653,40.4,41.2,124182,56400,40517,14411,67900,56282,120809,29052,57375,24005,5966,711,533,37,498,987,1645,3373,25981,10474,1324,724,32.9,107.8,7.2,42546,1.3,6.3,9.4
2015,광주,북구,N,459715,62964,345010,51741,38.9,39,260714,125859,66406,23779,147800,112914,253850,61980,119954,50389,13687,1269,214,96,853,2047,3361,6864,59308,21825,2892,1003,35.4,127.5,7.2,42546,1.3,6.3,9.4
2015,광주,광산구,N,411722,78466,302318,30938,35.2,36,238018,133074,43922,20671,136797,101221,230899,54523,116110,34490,15595,731,1513,148,648,3304,3837,7119,64508,17712,2497,1048,36.5,125,7.2,42546,1.3,6.3,9.4
2015,대전,동구,N,247975,31753,181704,34518,40.2,40.2,139103,69643,41281,14592,80474,58629,132078,41120,54257,21715,5472,711,3063,533,570,1978,2659,7025,36765,13017,1983,1397,34.5,93.3,7.4,42385,1.4,6.1,9.2
2015,대전,중구,N,250434,33575,179618,37241,41.4,42.4,139003,58050,47925,14466,78978,60025,131981,33357,58285,23768,6460,634,2462,953,725,2694,2643,7022,32204,14144,2301,2002,34.2,88.9,7.4,42385,1.4,6.1,9.2
2015,대전,서구,N,491507,71487,373243,46777,38.1,38.5,290733,130841,79194,27818,163188,127545,275705,78505,124757,44119,12831,1551,4987,742,1236,3682,3295,15028,72563,24956,4107,4145,32.6,140,7.4,42385,1.4,6.1,9.2
2015,대전,유성구,N,350015,60252,265797,23966,35.4,35.2,209078,118531,39324,22827,124237,84841,195501,55279,100355,17858,8558,1313,4933,461,391,4642,1711,13577,61114,15042,2184,3427,34.8,119.3,7.4,42385,1.4,6.1,9.2
2015,대전,대덕구,N,198463,26551,150109,21803,39.5,40.6,115513,52417,33051,11418,67218,48295,111062,29418,49616,20686,6118,527,77,395,340,1339,2546,4451,31961,9829,1793,1546,35.5,138.9,7.4,42385,1.4,6.1,9.2
2015,울산,중구,N,236988,32399,180340,24249,39.9,41.6,135507,52797,63184,6422,82973,52534,130339,25498,62018,25345,10113,388,-,78,588,3560,2751,5168,29926,9959,1498,1060,34.2,88.9,7.1,40810,1.3,4.8,9.3
2015,울산,남구,N,341363,46195,267499,27669,38.7,40.3,201207,105041,46852,8332,121935,79272,194061,49338,92585,29126,15011,691,-,121,1152,3088,2949,7146,50942,12126,1986,1443,32.9,107.8,7.1,40810,1.3,4.8,9.3
2015,울산,동구,N,176861,27288,136500,13073,37.7,37.5,99164,60242,12378,1898,66949,32215,96794,32060,16623,15663,7400,207,-,30,307,3519,20985,2370,33476,4204,879,501,34.5,93.3,7.1,40810,1.3,4.8,9.3
2015,울산,북구,N,188664,34450,142216,11998,35.9,37,108167,52046,27471,10565,69222,38945,103124,25608,45300,15200,9680,203,-,207,179,3232,3515,5043,25743,8974,1723,827,35.4,127.5,7.1,40810,1.3,4.8,9.3
2015,울산,울주군,N,222739,33809,164555,24375,39.2,40.5,125032,68593,32879,6708,76749,48283,121292,28605,63489,15278,10734,319,-,227,236,536,1868,3740,38367,8688,1498,871,36.1,146.3,7.1,40810,1.3,4.8,9.3
2015,세종,세종시,N,204088,39711,143274,21103,36.5,36.5,116408,71496,-,31835,68120,48288,110746,32227,59103,7281,5413,537,-,871,99,2489,2726,5662,41840,7488,2247,2250,38.2,134.8,6.3,35990,1.3,4.7,8.5
2015,경기,수원시,Y,1194313,180081,914372,99860,37.4,37.7,698865,290985,186917,88963,407160,291705,634683,160772,253302,122177,38268,7374,33046,1764,1864,9462,6654,64182,130694,120063,44759,18210,34.6,122.4,8.7,60549,1.5,6.2,7.8
2015,경기,장안구,Y,299611,43388,226907,29316,38.2,38.9,176178,70723,46024,26160,102327,73851,156970,42032,59189,31774,8470,1622,8930,345,376,2360,1872,19208,33151,35225,13069,4830,,,8.7,60549,1.5,6.2,7.8
2015,경기,권선구,Y,349339,51870,268383,29086,37.8,37.9,204710,83816,58337,22435,118871,85839,187572,37508,81279,38194,12912,1588,9956,675,689,2405,2366,17138,34900,35027,12287,4813,,,8.7,60549,1.5,6.2,7.8
2015,경기,팔달구,Y,208903,23939,161335,23629,40.7,41.4,114697,43101,28887,13645,65927,48770,106422,26995,38124,24681,5733,1166,6318,461,456,1252,1236,8275,21649,19191,7221,2575,,,8.7,60549,1.5,6.2,7.8
2015,경기,영통구,Y,336460,60884,257747,17829,34.3,34.7,203280,93345,53669,26723,120035,83245,183719,54237,74710,27528,11153,2998,7842,283,343,3445,1180,19561,40994,30620,12182,5992,,,8.7,60549,1.5,6.2,7.8
2015,경기,성남시,Y,948757,126039,718298,104420,39.8,40.5,555434,204398,78705,157520,318075,237359,486680,111323,163716,115283,14816,5615,65008,75,1534,3423,5887,68754,87982,116817,32784,10146,34.2,132.7,8.7,60549,1.5,6.2,7.8
2015,경기,수정구,Y,225967,23908,174385,27674,41.3,41.8,130533,45638,15219,35138,74480,56053,116920,27496,31049,30297,2658,824,21700,6,419,480,1991,13613,19838,23943,5604,2018,,,8.7,60549,1.5,6.2,7.8
